Áreas/Cursos;Mat. Sem. 1 M;Mat. Sem. 1 F;Mat. Sem. 1 Total;Mat. Sem. 2 M;Mat. Sem. 2F;Mat. Sem. 2 Total;Dip. Sem. 1 M;Dip. Sem. 1 F;Dip. Sem. 1 Total;Dip. Sem. 2 M;Dip. Sem. 2F;Dip. Sem. 2 Total;Ano
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;1;0;1;0;0;0;0;0;0;0;0;0;2020
 TECNOLOGIA EM GESTÃO AMBIENTAL;58;54;112;56;52;108;2;1;3;2;1;3;2020
 ADMINISTRAÇÃO;137;149;286;134;136;270;3;13;16;2;4;6;2020
 ESTUDANTE NÃO VINCULADO;0;0;0;0;0;0;0;0;0;0;0;0;2020
 MOBILIDADE ACADÊMICA - GRADUAÇÃO;0;0;0;0;0;0;0;0;0;0;0;0;2020
AGRONOMIA;139;84;223;130;81;211;7;2;9;10;5;15;2019
 CIÊNCIAS BIOLÓGICAS;24;74;98;24;66;90;1;4;5;2;6;8;2019
 EDUCAÇÃO FÍSICA;124;73;197;108;65;173;4;7;11;13;5;18;2019
 CIÊNCIA DA COMPUTAÇÃO;150;22;172;135;21;156;6;0;6;9;0;9;2019
 ENGENHARIA DE ALIMENTOS;48;112;160;36;111;147;0;0;0;3;14;17;2019
 FÍSICA;39;17;56;38;15;53;0;1;1;3;1;4;2019
 MATEMÁTICA ;36;32;68;32;27;59;3;0;3;1;1;2;2019
 QUÍMICA;30;55;85;21;46;67;0;2;2;1;1;2;2019
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0;2019
 TECNOLOGIA EM GESTÃO AMBIENTAL;59;58;117;48;40;88;0;7;7;3;1;4;2019
 ADMINISTRAÇÃO;136;138;274;126;121;247;3;13;16;2;4;6;2019
 ESTUDANTE NÃO VINCULADO;0;0;0;0;0;0;0;0;0;0;0;0;2019
 MOBILIDADE ACADÊMICA - GRADUAÇÃO;0;0;0;0;0;0;0;0;0;0;0;0;2019
AGRONOMIA;135;81;216;122;77;199;2;6;8;8;8;16;2018
 CIÊNCIAS BIOLÓGICAS;26;71;97;19;66;85;6;2;8;1;5;6;2018
 EDUCAÇÃO FÍSICA;118;74;192;102;65;167;9;6;15;8;7;15;2018
 CIÊNCIA DA COMPUTAÇÃO;148;22;170;135;20;155;6;3;9;14;2;16;2018
 ENGENHARIA DE ALIMENTOS;47;103;150;45;98;143;0;3;3;4;10;14;2018
 FÍSICA;38;19;57;31;14;45;1;1;2;1;0;1;2018
 MATEMÁTICA ;35;29;64;30;27;57;0;1;1;1;3;4;2018
 QUÍMICA;31;53;84;26;43;69;3;3;6;2;0;2;2018
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0;2018
 TECNOLOGIA EM GESTÃO AMBIENTAL;54;69;123;48;52;100;1;7;8;4;9;13;2018
 ADMINISTRAÇÃO;114;138;252;104;125;229;2;10;12;3;6;9;2018
 ESTUDANTE NÃO VINCULADO;0;1;1;0;1;1;0;0;0;0;0;0;2018
 MOBILIDADE ACADÊMICA - GRADUAÇÃO;0;1;1;0;1;1;0;0;0;0;0;0;2018
AGRONOMIA;116;80;196;116;77;193;1;3;4;5;9;14;2017
 CIÊNCIAS BIOLÓGICAS;27;74;101;24;65;89;0;3;3;1;6;7;2017
 EDUCAÇÃO FÍSICA;103;75;178;97;66;163;3;7;10;3;7;10;2017
 CIÊNCIA DA COMPUTAÇÃO;134;18;152;118;18;136;5;0;5;3;0;3;2017
 ENGENHARIA DE ALIMENTOS;44;111;155;37;103;140;2;1;3;3;15;18;2017
 FÍSICA;38;14;52;33;13;46;2;0;2;1;0;1;2017
 MATEMÁTICA;35;31;66;26;25;51;1;0;1;0;2;2;2017
 QUÍMICA;31;52;83;26;42;68;1;4;5;0;0;0;2017
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0;2017
